metric,mean
log_loss,0.23609625406130882
brier,0.06739254884928181
roc_auc,0.9235224731459492
pr_auc_exit,0.776511723619268
balanced_accuracy,0.8306518648635395
macro_f1,0.8330725161432595
exit_recall,0.7097826523038655
presence_recall,0.9515210774232135
threshold,0.6525000000000001
