family,experiment,fold,outer_val_season,train_n,val_n,feature_count,selected_iterations,fit_seconds,mae,rmse,r2,bias,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias,changed_team_n,changed_team_mae,changed_team_bias,same_team_n,same_team_mae,same_team_bias
Market_2005plus,M0_Exp9Cb,1,2020-2021,13295,834,19,291,15.000266799994279,2.3314896249286936,3.337299439389348,0.48914496404733976,0.07346132468973032,92,5.937351492876091,-5.361040097818895,31,8.283356464865228,-7.670884473576914,13,9.75448011137189,-9.26724261044452,55,2.4267179851403218,0.8208181305498361,779,2.324766184862404,0.020695439808721593
Market_2005plus,M1_plus_market_value,1,2020-2021,13295,834,23,349,19.860784699965734,2.349691327382357,3.346125518952492,0.4864392976861911,0.1619609980054645,92,5.801905576747414,-5.2627307907386,31,8.348738136331749,-7.4296095783168425,13,9.938101817809546,-9.113460449602401,55,2.5122795877452213,0.9777549221078548,779,2.3382120535441575,0.10436322415998125
Market_2005plus,M2_plus_market_momentum,1,2020-2021,13295,834,26,348,21.00415559997782,2.340458574600877,3.322453877223213,0.4936798056134978,0.15915595251074935,92,5.762007127722061,-5.209596304045843,31,8.049193211101139,-7.250983325640256,13,9.15465865595979,-8.694887433570655,55,2.5010200348439366,0.9373527549058365,779,2.329122399615809,0.10421266094241842
Market_2005plus,M0_Exp9Cb,2,2021-2022,14129,778,19,303,15.253735599981155,2.4463659659185257,3.464976188127175,0.43101467558623774,0.1624662069413213,76,6.277117291919,-5.573965923434391,29,8.422531196461447,-7.987541643620994,10,10.977388784382276,-10.224301168963546,99,2.914970715087373,0.13434043163654275,679,2.3780421512385317,0.1665670195409871
Market_2005plus,M1_plus_market_value,2,2021-2022,14129,778,23,336,16.294162200007122,2.467654434725266,3.4694147981542387,0.42955600954909323,0.2467025910151529,76,6.084801403014729,-5.4052229130687275,29,8.111208165311776,-7.846471907763425,10,10.413592656250795,-9.860048949158106,99,2.96306720542031,0.2375943830279154,679,2.3954219394398324,0.2480305918851625
Market_2005plus,M2_plus_market_momentum,2,2021-2022,14129,778,26,243,12.317468199995346,2.462770551585451,3.4639052717368233,0.43136633257511514,0.22148723295224795,76,6.111624740312157,-5.524588274700596,29,8.133037825042207,-8.02634850498597,10,10.528812176987312,-10.44160249661333,99,2.960890366058722,0.1439980754043716,679,2.3901433621408943,0.2327853575431754
Market_2005plus,M0_Exp9Cb,3,2022-2023,14907,738,19,607,33.53945619997103,2.3116004079325356,3.368416503426445,0.4781003220659068,0.004723362549464709,78,6.325301298082974,-6.018474791455049,31,7.96491678151109,-7.330543080229506,8,11.83595193401866,-9.719398236760156,103,2.30317083872384,0.3811194856824102,635,2.312967723882922,-0.05632986687209974
Market_2005plus,M1_plus_market_value,3,2022-2023,14907,738,23,161,8.851943399989977,2.315886159061383,3.339943153271565,0.4868863051603657,0.10602582413160781,78,6.149092672611592,-5.967696130119592,31,7.766112805848573,-7.382222450733671,8,10.73846237702344,-10.047996940400948,103,2.381807364146515,0.48492122172370355,635,2.305193428157811,0.04456720058517336
Market_2005plus,M2_plus_market_momentum,3,2022-2023,14907,738,26,178,9.602822599990759,2.322581770011995,3.345946916549264,0.4850399372329455,0.08695740705918631,78,6.151934786047922,-5.976390133975569,31,7.741444828538896,-7.406231410596704,8,10.7995275783096,-9.985182503068886,103,2.4173056009449274,0.4989098835394319,635,2.3072171171205116,0.02013676914191814
Market_2005plus,M0_Exp9Cb,4,2023-2024,15645,769,19,593,31.258962699968833,2.451026898869362,3.5033632012521023,0.4573160080617643,-0.030264766822435347,87,6.480062232572392,-5.799369677610001,32,9.026133084944295,-8.22719335834401,16,10.629543800565724,-9.278316011930514,97,3.1097765286654098,-0.5440776500982545,672,2.3559395267113015,0.04390167615041347
Market_2005plus,M1_plus_market_value,4,2023-2024,15645,769,23,300,15.813464000006206,2.452038154698175,3.470185206329871,0.46754612597513934,0.031117749834389342,87,6.411713594053588,-5.734203372096608,32,8.890492410072934,-8.21045572738659,16,10.689727671237005,-9.442228196495204,97,3.1370440197519835,-0.4611782638071653,672,2.3531608200103484,0.10217833513681612
Market_2005plus,M2_plus_market_momentum,4,2023-2024,15645,769,26,256,16.461258800001815,2.4578012713253012,3.4793837854656897,0.4647195848877421,0.03402556952866171,87,6.457136915171525,-5.741772674949595,32,8.932962268161699,-8.200867502750935,16,10.77033341249965,-9.38075412540013,97,3.132340881801902,-0.4466211118032042,672,2.360434690646388,0.10340462918519593
Transfer_2017plus,T0_Exp9Cb,1,2020-2021,3252,834,19,259,12.618937199993525,2.336791173433272,3.3553442366058612,0.4836056366162752,0.048044823276605426,92,5.992418506142789,-5.3813191068533275,31,8.231459809312907,-7.687889902838068,13,9.336743486953424,-9.336743486953424,55,2.4142589068050433,0.736598782431795,779,2.3313216928999636,-0.0005693843659304288
Transfer_2017plus,T1_plus_transfer_state,1,2020-2021,3252,834,25,281,13.509447599994019,2.3318554218611287,3.3629324113879173,0.48126732419299656,0.031595020685867004,92,6.049193338868459,-5.496263869920495,31,8.419506734887769,-7.867923738367825,13,9.477275126337725,-9.477275126337725,55,2.3736055022634823,0.7625174811228714,779,2.3289077268391396,-0.02001054455679697
Transfer_2017plus,T2_plus_state_economics,1,2020-2021,3252,834,28,253,14.1467902000295,2.343740290348318,3.3786454758001665,0.4764085157758229,0.04634235764642217,92,6.0308846858476635,-5.394497214027007,31,8.352656775391315,-7.78280204623814,13,9.45287495631035,-9.45287495631035,55,2.462575461398045,0.7911717428468482,779,2.3353501306464763,-0.006245082900462829
Transfer_2017plus,T3_plus_state_new_team,1,2020-2021,3252,834,32,284,18.58575309999287,2.3298574686028686,3.3578530984306085,0.48283310994061734,0.058614436068103286,92,5.904615457511744,-5.356004438654495,31,8.155019033604807,-7.6538245311006206,13,9.140860775714533,-9.140860775714533,55,2.3877472921977265,0.7637180871733789,779,2.325770253843283,0.008831764937435541
