fold,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature
1,6,0.016802840707363223,6.860466437250665,0.10123734849571585,1.1065721290135575
2,8,0.011562472350028184,0.03681153836714184,1.7701667950113096,1.4666304787720816
3,6,0.03506817295006222,0.16576439739399348,0.012033738407525573,1.970467424367437
4,8,0.025622659944134703,0.013605550327209882,4.158180187965457,1.9880493918480728
