method,folds,mae_mean,mae_std,mae_worst,rmse_mean,r2_mean,bias_mean,exit_mae_mean,exit_pred_mean,presence_mae_mean,tenplus_mae_mean,fifteenplus_mae_mean,twentyplus_mae_mean
TwoStage_Hard,4,2.126666454177564,0.0936554754737743,2.2638461770890985,3.258929661893446,0.47445930911278444,0.03704859860763916,0.8106966397960544,0.8106966397960544,2.381066061232754,6.462508648640102,8.627917533078964,10.853575480848264
TwoStage_Soft,4,2.1675626056144814,0.06660054896494838,2.253697400581051,3.243436913965739,0.4794953974773553,0.021080986105087237,1.178902353982642,1.178902353982642,2.356389564213854,6.6089300583558295,8.789650405329436,11.044499727930129
Direct_Regression,4,2.201881212300542,0.06221806248355293,2.276932391873247,3.2795999168108003,0.46794689641778786,0.04812505935121697,1.3678623769164786,1.3678623769164786,2.357890367288101,6.562908128383542,8.825398887907127,11.118458660078172
Conditional_No_Gate,4,2.385455979268097,0.08259694886721321,2.462078724278758,3.393503636281757,0.43017728665059507,0.3700729074358803,2.275155966815827,2.275155966815827,2.3973799589047706,6.431992349047144,8.627917533078964,10.853575480848264
Current_Goals_Naive,4,2.751637124317132,0.14645177163620937,2.84796573875803,4.037661346275841,0.19225486415407797,1.0153042111606507,2.548134310374787,2.548134310374787,2.780487579089799,5.623266780679767,7.093245967741936,8.277403846153845
