model,folds,mae_mean,mae_std,mae_worst,rmse_mean,rmse_std,rmse_worst,r2_mean,r2_std,r2_worst,bias_mean,10plus_mae_mean,10plus_bias_mean,15plus_mae_mean,20plus_mae_mean,fit_seconds_mean
CatBoost,4,2.389375076836339,0.07961255533110988,2.4580749713675942,3.4053500201113813,0.08117947900851903,3.487326190583783,0.4679666380007539,0.027202064755071444,0.4322520165501891,0.08051459668674753,6.205127719158179,-5.661765649629563,8.319399270361092,10.563597633865513,16.81254287500633
XGBoost,4,2.4229817597796863,0.0684119156180925,2.49029548159755,3.452929336641614,0.06461835333050422,3.518795639020522,0.45307177421303124,0.023194884689560394,0.42145682317230326,0.055883793865776916,6.488239167422046,-5.963394009627299,8.73872713450015,10.984544794719952,0.8562684249918675
Baseline_MLP,4,2.427668949608232,0.06687012835643688,2.5024496132656355,3.450454030963807,0.09829017367856081,3.545214716868756,0.45355360453012983,0.03570500269632612,0.40435754754437725,0.12160626709184374,6.200828743699154,-5.789265130427064,8.448501818967742,10.836524278842486,6.932174624977051
ElasticNet,4,2.4288928334140554,0.08397379069471467,2.52161423141455,3.441203928047069,0.10896223937261625,3.557601622648658,0.45629197102721053,0.04070942592586567,0.40018795156358267,0.1068201562368136,6.164765061041798,-5.801749384050946,8.436075963069541,11.283875003407095,1.36964537500171
RandomForest,4,2.4349997363853895,0.08896343076655366,2.5567586893413163,3.4593594999397,0.08755520156904163,3.5802411232191194,0.45050770410729407,0.03922328694683492,0.3925296163150088,0.13401103519560323,6.235226787065448,-5.698725911355442,8.408421122971447,10.759565722878786,2.9287164999987
Naive_current_goals,4,2.7803178969528113,0.12187762129457062,2.922879177377892,4.0330128152330635,0.18078028661626244,4.301909661443219,0.25175195293154795,0.08659346005128984,0.12295247287972,0.7168640419437599,5.609692496868975,-3.343362858044662,7.100250278086763,8.277403846153845,0.0
