variant,target_col,fold,outer_val_season,train_n,val_n,val_presence_rate,selected_iterations,threshold,log_loss,brier,roc_auc,pr_auc_presence,pr_auc_exit,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1
A_Original,matched_next_original,1,2020-2021,3817,960,0.86875,184,0.62,0.1987923881254064,0.056448151862238796,0.941237486201515,0.9895756425945413,0.7392266529652176,0.9270833333333334,0.8536028320200981,0.8443002780352178,0.7089552238805971,0.753968253968254,0.7307692307692307,0.9624697336561744,0.9532374100719424,0.9578313253012049
A_Original,matched_next_original,2,2021-2022,4777,934,0.8329764453961456,337,0.59,0.2920954969133215,0.08166941283313821,0.8681612945751764,0.9574246347007348,0.7018174215337432,0.8950749464668094,0.7678959857623097,0.7929233971313515,0.7377049180327869,0.5769230769230769,0.6474820143884892,0.9187192118226601,0.9588688946015425,0.9383647798742139
A_Original,matched_next_original,3,2022-2023,5711,938,0.7867803837953091,200,0.64,0.3338074755143255,0.0976947821200957,0.8825677506775068,0.9590502603219059,0.753305946402035,0.8752665245202559,0.765819783197832,0.7931518028961688,0.782312925170068,0.575,0.6628242074927954,0.8925410872313527,0.9566395663956639,0.9234793982995422
A_Original,matched_next_original,4,2023-2024,6649,923,0.8331527627302275,154,0.81,0.1913919753485018,0.05224254817155522,0.9568675797544458,0.9890070825085497,0.8739333936972343,0.905742145178765,0.8966949825207302,0.849576552966939,0.6634146341463415,0.8831168831168831,0.7576601671309192,0.9749303621169917,0.9102730819245773,0.9414929388029589
A_Audited,matched_next_audited,1,2020-2021,3817,960,0.86875,184,0.62,0.1987923881254064,0.056448151862238796,0.941237486201515,0.9895756425945413,0.7392266529652176,0.9270833333333334,0.8536028320200981,0.8443002780352178,0.7089552238805971,0.753968253968254,0.7307692307692307,0.9624697336561744,0.9532374100719424,0.9578313253012049
A_Audited,matched_next_audited,2,2021-2022,4777,934,0.8447537473233405,337,0.59,0.24396507713813806,0.07045501894940512,0.9077924915869061,0.9763004307164391,0.7357684611673596,0.9068522483940042,0.7900659936191601,0.8099081332594095,0.7377049180327869,0.6206896551724138,0.6741573033707865,0.9322660098522167,0.9594423320659062,0.9456589631480324
A_Audited,matched_next_audited,3,2022-2023,5711,938,0.7963752665245203,199,0.64,0.31369957808821025,0.09052698291809805,0.8888678623744541,0.961842359259107,0.7641621951686074,0.8848614072494669,0.7815765680523139,0.8060202205882353,0.7785234899328859,0.6073298429319371,0.6823529411764706,0.9049429657794676,0.9558232931726908,0.9296875
A_Audited,matched_next_audited,4,2023-2024,6649,923,0.8331527627302275,272,0.76,0.18792797289348065,0.05214004166738525,0.9561920524209211,0.9890291812664754,0.8668895851758872,0.9241603466955579,0.8973620657625858,0.8720614326901752,0.7333333333333333,0.8571428571428571,0.7904191616766467,0.9703903095558546,0.9375812743823146,0.9537037037037037
