model,experiment,fold,outer_val_season,train_n,val_n,numeric_feature_count,selected_rounds,fit_seconds,mae,rmse,r2,bias,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias,changed_team_n,changed_team_mae,changed_team_bias,same_team_n,same_team_mae,same_team_bias,input_dim,calibration_mae,architecture,dropout,learning_rate,weight_decay,batch_size
Fixed_CatBoost,S0_Exp9Cb,1,2020-2021,3252,834,17,259,17.32625929999631,2.336791173433272,3.3553442366058612,0.4836056366162752,0.048044823276605426,92,5.992418506142789,-5.3813191068533275,31,8.231459809312907,-7.687889902838068,13,9.336743486953424,-9.336743486953424,55,2.4142589068050433,0.736598782431795,779,2.3313216928999636,-0.0005693843659304288,,,,,,,
Fixed_CatBoost,S1_market,1,2020-2021,3252,834,24,317,15.667522299976554,2.3382521719847404,3.3596173239393705,0.48228952528608415,0.03013009099040554,92,6.035531224046103,-5.489055977549977,31,8.309928331834216,-7.919839487862432,13,9.330316802842189,-9.330316802842189,55,2.4460630685236584,0.8155164312427052,779,2.330640362858116,-0.025320805946534693,,,,,,,
Fixed_CatBoost,S2_transfer_new_team,1,2020-2021,3252,834,30,284,13.951706999971066,2.3298574686028686,3.3578530984306085,0.48283310994061734,0.058614436068103286,92,5.904615457511744,-5.356004438654495,31,8.155019033604807,-7.6538245311006206,13,9.140860775714533,-9.140860775714533,55,2.3877472921977265,0.7637180871733789,779,2.325770253843283,0.008831764937435541,,,,,,,
Fixed_CatBoost,S3_selected_no_economics,1,2020-2021,3252,834,37,283,14.397169199946802,2.324305474845538,3.3489274796704294,0.4855788521425868,0.04631052876326523,92,5.937656040543747,-5.402852624734063,31,8.22605610766324,-7.86165911501631,13,9.32414293230341,-9.32414293230341,55,2.3625489236598782,0.7675712729061962,779,2.3216053597174398,-0.0046128870619737625,,,,,,,
Fixed_CatBoost,S4_all_with_economics,1,2020-2021,3252,834,40,307,15.707271399965975,2.3281852980275066,3.357819528456506,0.4828434505909154,0.049944315538891525,92,5.987877911458627,-5.374334310247713,31,8.251015569057207,-7.72311252279403,13,9.184903236233414,-9.103159934785596,55,2.423582674707332,0.7457968111888864,779,2.3214499248344507,0.000814806860137072,,,,,,,
Fixed_CatBoost,S0_Exp9Cb,2,2021-2022,4086,778,17,212,10.709328199969605,2.481577306193218,3.527740113733547,0.41021499986336163,0.10706899024795129,76,6.568650503114043,-5.759497787109303,29,8.969479745518656,-8.416292167222513,10,12.276723662693467,-11.010856249593575,99,3.0197620231090783,0.08796850558099382,679,2.4031085477621867,0.10985389154696273,,,,,,,
Fixed_CatBoost,S1_market,2,2021-2022,4086,778,24,287,14.251314599998295,2.471608532783621,3.491393448930239,0.4223056214387635,0.0963228291188134,76,6.542629651032596,-5.727870548672462,29,8.816167725162657,-8.288754611735218,10,12.068498351560546,-10.983052234284248,99,3.007493508161675,0.050080910807950574,679,2.393475082765318,0.10306502339388765,,,,,,,
Fixed_CatBoost,S2_transfer_new_team,2,2021-2022,4086,778,30,327,15.842563799989875,2.4787326220174455,3.5323185679245053,0.40868310930219787,0.10085670441113558,76,6.5594739601786864,-5.781317858620511,29,8.952688433302287,-8.431837689738114,10,11.935979837122407,-11.420241106051167,99,2.960659539207131,-0.02842295833351403,679,2.4084663999235145,0.11970602195416982,,,,,,,
Fixed_CatBoost,S3_selected_no_economics,2,2021-2022,4086,778,37,264,14.250592300028075,2.4580105889452097,3.499208477569272,0.4197165400530789,0.0945134395553944,76,6.4626822521861955,-5.830192441851685,29,8.756292800859994,-8.50093215856939,10,11.787216788271644,-11.369658925085767,99,2.9422569051534557,-0.03225837665933902,679,2.387406192325745,0.11299710642617292,,,,,,,
Fixed_CatBoost,S4_all_with_economics,2,2021-2022,4086,778,40,211,10.698763299966231,2.4601115899160124,3.5162364880876407,0.414055194185563,0.10069622379342551,76,6.516903896562926,-5.901256395924001,29,8.832570068170279,-8.627633465336768,10,12.147136647163826,-12.147136647163826,99,3.004124169251306,-0.06371051908171532,679,2.3807931136948137,0.12466716273987467,,,,,,,
