model,folds,log_loss_mean,log_loss_std,brier_mean,roc_auc_mean,pr_auc_presence_mean,pr_auc_exit_mean,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,exit_precision_mean,exit_recall_mean,exit_f1_mean,presence_recall_mean,threshold_mean,fit_seconds_mean
CatBoost_ModelA,4,0.25755628428454624,0.06575072163226064,0.0728810361913244,0.9107149372679466,0.9735223647680052,0.7657785970127848,0.9003262901831858,0.8248609432909513,0.8209254440995865,0.7096383011451592,0.7084812409812411,0.7019950359142222,0.9412406456006615,0.6799999999999999,1.9330276207499963
Logistic_ModelA,4,0.29595186583312905,0.0739595331935857,0.08328373680484444,0.892250744659264,0.9679605345954847,0.7157699990862585,0.8926379748308336,0.7712460403560026,0.7903866485646136,0.7251699880616526,0.5861718836718837,0.6442074493245707,0.9563201970401217,0.59,0.1454586169999743
Naive_Prevalence,4,0.4568466996728723,0.05876624893668524,0.14124984727507783,0.5,0.8304148979804206,0.16958510201957944,0.8304148979804206,0.5,0.4535370125317161,0.0,0.0,0.0,1.0,0.5,0.0
