variant,full_mae,variant_mae,improvement_vs_full,better_folds_vs_full,material_threshold,material_improvement,decision
NO_MARKET,2.126666454177564,2.1416266061474234,-0.014960151969859226,0,0.03,False,KEEP_FULL
NO_TRANSFER_CONTEXT,2.126666454177564,2.211232716401965,-0.084566262224401,0,0.03,False,KEEP_FULL
NO_MODEL_A_CONTEXT,2.126666454177564,2.1386133648954897,-0.01194691071792553,0,0.03,False,KEEP_FULL
