method,n,mae,bias,actual_mean,pred_mean
TwoStage_Hard,616,0.8315172501209604,0.8315172501209604,0.0,0.8315172501209604
TwoStage_Soft,616,1.205442330839007,1.205442330839007,0.0,1.205442330839007
Direct_Regression,616,1.4049001783302535,1.4049001783302535,0.0,1.4049001783302535
Conditional_No_Gate,616,2.319220959840474,2.319220959840474,0.0,2.319220959840474
Current_Goals_Naive,616,2.603896103896104,2.603896103896104,0.0,2.603896103896104
