metric,original,audited,delta_audited_minus_original
log_loss_mean,0.2540218339753888,0.23609625406130882,-0.017925579914079975
brier_mean,0.07201372374675698,0.06739254884928181,-0.004621174897475169
roc_auc_mean,0.912208527802161,0.923522473145949,0.011313945343788046
pr_auc_exit_mean,0.7670708536495575,0.776511723619268,0.009440869969710497
macro_f1_mean,0.8199880077574193,0.8330725161432595,0.013084508385840188
exit_recall_mean,0.6972520535020534,0.7097826523038655,0.012530598801812065
