fold,outer_val_season,threshold,log_loss,brier,roc_auc,pr_auc_exit,balanced_accuracy,macro_f1,exit_recall,presence_recall
1,2020-2021,0.62,0.1987923881254064,0.056448151862238796,0.941237486201515,0.7392266529652176,0.8536028320200981,0.8443002780352178,0.753968253968254,0.9532374100719424
2,2021-2022,0.59,0.24396507713813806,0.07045501894940512,0.9077924915869061,0.7357684611673596,0.7900659936191601,0.8099081332594095,0.6206896551724138,0.9594423320659062
3,2022-2023,0.64,0.31369957808821025,0.09052698291809805,0.8888678623744541,0.7641621951686074,0.7815765680523139,0.8060202205882353,0.6073298429319371,0.9558232931726908
4,2023-2024,0.76,0.18792797289348065,0.05214004166738525,0.9561920524209211,0.8668895851758872,0.8973620657625858,0.8720614326901752,0.8571428571428571,0.9375812743823146
