method,n,mae,bias,actual_mean,pred_mean
TwoStage_Hard,455,2.291496646054124,-0.046772338101541557,3.0703296703296705,3.023557332228129
TwoStage_Soft,455,2.42402981631466,0.025947383105205352,3.0703296703296705,3.096277053434876
Direct_Regression,455,2.591308085032842,0.17164021040950656,3.0703296703296705,3.241969880739177
Conditional_No_Gate,455,2.949188554052678,0.7217653463610476,3.0703296703296705,3.792095016690718
Current_Goals_Naive,455,3.4571428571428573,1.6945054945054945,3.0703296703296705,4.764835164835165
