fold,architecture_name,dropout,learning_rate,weight_decay,batch_size
1,256_128_64,0.1523373539456242,0.0014981723596616536,0.00040722577871239745,32
2,256_128_64,0.023366896217509814,0.002725915517298259,1.2196061876085763e-06,128
3,256_128_64,0.06488468443588342,0.0010203339829786776,0.0005091037041881607,128
4,256_128_64,0.17784478909131868,0.0028267525438625076,8.318308206340892e-05,128
