fold,architecture_name,dropout,learning_rate,weight_decay,batch_size
1,256_128_64,0.39592880373561257,0.00033464635050717116,0.007877893533262572,32
2,256_128_64,0.16146528230052076,0.002954487686726783,0.0091703769685239,128
3,128_64_32,0.3965444212987478,0.0008765566651081348,0.002661191236558991,64
4,128_64_32,0.3955907222930193,0.001570485838023924,0.00013333272375254247,128
