method,mae_delta_vs_no_gate,exit_mae_delta_vs_no_gate,presence_mae_delta_vs_no_gate,10plus_mae_delta_vs_no_gate,20plus_mae_delta_vs_no_gate
TwoStage_Soft,-0.21789337365361572,-1.0962536128331852,-0.0409903946909167,0.17693770930868524,0.19092424708186506
TwoStage_Hard,-0.258789525090533,-1.4644593270197728,-0.01631389767201652,0.030516299592957985,0.0
