model,experiment,folds,mae_mean,mae_std,mae_worst,rmse_mean,r2_mean,bias_mean,10plus_mae_mean,10plus_bias_mean,15plus_mae_mean,20plus_mae_mean,changed_team_mae_mean,changed_team_bias_mean,same_team_mae_mean
Frozen_07_Tuned_MLP,S0_Exp9Cb,4,2.373839396336371,0.056054463164832584,2.4400848224662215,3.5180183710895214,0.43205075889072775,-0.47716405279657115,7.278375202470114,-7.122766473418308,10.022448541524014,12.751898920192168,2.5596210964859276,-0.35056833875461146,2.338423757231734
Fixed_CatBoost,S3_selected_no_economics,4,2.3826449010222324,0.07847494462114302,2.4580105889452097,3.4249135104101085,0.46174509188962687,-0.010917572866040351,6.415246382585428,-5.972970445179067,8.645464920441764,10.902246503350202,2.7216352625061138,0.03459818147173724,2.3338616067446103
Fixed_CatBoost,S4_all_with_economics,4,2.385485585076159,0.0763569300157155,2.4601115899160124,3.4402634764462316,0.45689533862631093,-0.005281676690327478,6.426842386596176,-5.963972038505949,8.684922241110542,11.043589622581523,2.7615161228738243,0.033642488989534564,2.332314745708551
Fixed_CatBoost,S1_market,4,2.3907874024648903,0.0772658736267268,2.471608532783621,3.4284088260772516,0.4607068591541489,-0.013283108878290435,6.438715731584555,-5.9688447663518875,8.63140034198463,10.941671216519687,2.7529001482797972,0.1141474060723722,2.33992540293434
Fixed_CatBoost,S2_transfer_new_team,4,2.3926300691383116,0.08082551639017381,2.4787326220174455,3.4498015455967725,0.45383533933634335,-0.009844457053390696,6.430194016650373,-5.969465526036164,8.615333820570902,10.997647869038303,2.740936409271458,0.025261561883183986,2.342996382322495
Fixed_CatBoost,S0_Exp9Cb,4,2.398808982040622,0.07431402504448148,2.481577306193218,3.44453328318997,0.45548544262532353,-0.01156407308413977,6.445675983517615,-5.96437525156713,8.671721354846067,11.098046551218776,2.7566123168142207,0.1069290786307531,2.348007882225936
Frozen_07_Tuned_MLP,S3_selected_no_economics,4,2.45066224208644,0.09246371754481998,2.5370653753760233,3.5207257261546596,0.43094439700604587,0.005235949511341952,6.421300627210463,-5.872459346280003,8.51600319176531,10.922711863426063,2.8129204336727556,0.11874442351947127,2.401817095909911
