player,nation,team,league,season,target_season,position,position_group,age,matched_next,starts,minutes,goals,assists,non_penalty_goals,penalty_goals,penalty_attempts,goals_per90,assists_per90,goal_contrib_per90,next_goals,next_10plus,season_start,target_year,row_id,norm_player,norm_current_team,tm_player_id,match_method,match_confidence,first_big5_game_date,cutoff_date,cutoff_source,timeline_status,confirmed_preseason_event_count,preseason_team_transition_count,selected_event_id,destination_team,destination_league,destination_country,unknown_date_context_event_count_audit,post_cutoff_context_event_count_audit,context_mismatch_pre_event_count_audit,timeline_trace,tr_event_id,tr_transfer_date,tr_from_club,tr_to_club,tr_from_league,tr_to_league,tr_from_country,tr_to_country,tr_transfer_fee_eur,tr_transfer_market_value_eur,tr_is_loan,tr_db_date_match_method,tr_db_match_score,transfer_event_preseason,norm_destination_team,changed_team_preseason,destination_in_big5,same_league_transfer,league_changed,country_changed,is_loan_preseason,transfer_date_preseason,days_since_transfer,transfer_fee_eur,transfer_market_value_eur,transfer_fee_known,transfer_fee_positive,log_transfer_fee,fee_to_transfer_market_value_ratio,mv_preseason_value_eur,mv_preseason_valuation_date,mv_preseason_peak_eur,mv_6m_value_eur,mv_6m_valuation_date,mv_6m_peak_eur,mv_12m_value_eur,mv_12m_valuation_date,mv_12m_peak_eur,market_value_preseason_eur,market_value_source,market_value_known,log_market_value,market_value_6m_eur,market_value_12m_eur,market_value_change_6m_eur,market_value_change_12m_eur,market_value_growth_6m,market_value_growth_12m,market_value_peak_to_cutoff_eur,market_value_vs_peak,valuation_age_days,market_value_percentile,market_value_vs_position_median,old_team_stats_name,old_team_rank_pct,old_team_points_per_game,old_team_goal_diff_per_game,new_team_stats_name,new_team_match_score,new_team_second_score,new_team_match_margin,new_team_match_method,new_team_strength_league,new_team_prev_rank_pct,new_team_prev_points_per_game,new_team_prev_goal_diff_per_game,new_team_strength_missing,team_rank_change,team_points_change,team_goal_diff_change,audit_norm_player,audit_norm_team,audit_status,review_priority_score
Imran Louza,ma MAR,Watford,Premier League,2021-2022,2022-2023,MF,MF,22.0,False,17.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021,2022,20901,imran louza,watford,635336.0,exact_normalized_unique,A,2022-08-05,2022-08-04,duckdb_big5_first_game,no_summer_event,0,0,,Watford,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,watford,0,1,0,0,0,0,,,,,0,0,,,9000000.0,2022-06-15,12000000.0,10000000.0,2021-12-23,12000000.0,12000000.0,2021-06-04,12000000.0,9000000.0,historical_valuation,1,16.012735246411598,10000000.0,12000000.0,-1000000.0,-3000000.0,-0.0999999999999999,-0.25,12000000.0,0.75,50.0,0.4826589595375722,1.0588235294117647,Watford,0.0526315789473684,0.6052631578947368,-1.131578947368421,Watford,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.6052631578947368,-1.131578947368421,0,0.0,0.0,0.0,imran louza,watford,STABLE_BIG5_REVIEW,0.7017942583732057
Sofiane Diop,fr FRA,Nice,Ligue 1,2022-2023,2023-2024,"MF,FW",FW,22.0,False,15.0,1293.0,2.0,4.0,2.0,0.0,0.0,0.1392111368909512,0.2784222737819025,0.4176334106728538,0.0,0,2022,2023,22330,sofiane diop,nice,569389.0,exact_normalized_unique,A,2023-08-11,2023-08-10,duckdb_big5_first_game,no_summer_event,0,0,,Nice,Ligue 1,France,0,0,0,,,,,,,,,,,,,,,0,nice,0,1,0,0,0,0,,,,,0,0,,,15000000.0,2023-06-27,20000000.0,18000000.0,2022-11-02,20000000.0,20000000.0,2022-05-30,20000000.0,15000000.0,historical_valuation,1,16.52356082573315,18000000.0,20000000.0,-3000000.0,-5000000.0,-0.1666666666666666,-0.25,20000000.0,0.75,44.0,0.6342434584755404,1.3636363636363635,Nice,0.5789473684210527,1.5263157894736843,0.2894736842105263,Nice,1.0,,,same_team_copy_old,Ligue 1,0.5789473684210527,1.5263157894736843,0.2894736842105263,0,0.0,0.0,0.0,sofiane diop,nice,STABLE_BIG5_REVIEW,0.7002392344497608
Matt Phillips,sct SCO,West Brom,Premier League,2020-2021,2021-2022,MF,MF,29.0,False,20.0,1828.0,2.0,1.0,2.0,0.0,0.0,0.0984682713347921,0.049234135667396,0.1477024070021881,0.0,0,2020,2021,20189,matt phillips,west brom,77274.0,exact_normalized_unique,A,2021-08-06,2021-08-05,duckdb_big5_first_game,no_summer_event,0,0,,West Brom,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,west brom,0,1,0,0,0,0,,,,,0,0,,,4000000.0,2021-06-08,9000000.0,5500000.0,2020-10-13,9000000.0,5500000.0,2020-04-08,9000000.0,4000000.0,historical_valuation,1,15.201805169084134,5500000.0,5500000.0,-1500000.0,-1500000.0,-0.2727272727272727,-0.2727272727272727,9000000.0,0.4444444444444444,58.0,0.2788778877887788,0.5,West Brom,0.0526315789473684,0.6842105263157895,-1.0789473684210529,West Brom,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.6842105263157895,-1.0789473684210529,0,0.0,0.0,0.0,matt phillips,west brom,STABLE_BIG5_REVIEW,0.7001196172248805
Adama Niane,ml MLI,Troyes,Ligue 1,2017-2018,2018-2019,FW,FW,24.0,False,25.0,2164.0,8.0,2.0,6.0,2.0,2.0,0.33271719038817,0.0831792975970425,0.4158964879852126,0.0,0,2017,2018,16781,adama niane,troyes,253842.0,exact_normalized_unique,A,2018-08-10,2018-08-09,duckdb_big5_first_game,no_summer_event,0,0,,Troyes,Ligue 1,France,0,0,0,,,,,,,,,,,,,,,0,troyes,0,1,0,0,0,0,,,,,0,0,,,3000000.0,2018-06-04,3000000.0,2500000.0,2018-01-24,2500000.0,2500000.0,2017-06-15,2500000.0,3000000.0,historical_valuation,1,14.914123179965662,2500000.0,2500000.0,500000.0,500000.0,0.1999999999999999,0.1999999999999999,3000000.0,1.0,66.0,0.2621412803532009,0.4,Troyes,0.0526315789473684,0.868421052631579,-0.7105263157894737,Troyes,1.0,,,same_team_copy_old,Ligue 1,0.0526315789473684,0.868421052631579,-0.7105263157894737,0,0.0,0.0,0.0,adama niane,troyes,STABLE_BIG5_REVIEW,0.6994019138755981
Mehdi Léris,dz ALG,Sampdoria,Serie A,2022-2023,2023-2024,"MF,DF",MF,24.0,False,29.0,2460.0,1.0,1.0,1.0,0.0,0.0,0.0365853658536585,0.0365853658536585,0.073170731707317,0.0,0,2022,2023,22106,mehdi leris,sampdoria,348601.0,exact_normalized_unique,A,2023-08-11,2023-08-10,duckdb_big5_first_game,no_summer_event,0,0,,Sampdoria,Serie A,Italy,0,0,0,,,,,,,,,,,,,,,0,sampdoria,0,1,0,0,0,0,,,,,0,0,,,2500000.0,2023-06-15,2500000.0,2200000.0,2022-11-11,2500000.0,2400000.0,2022-06-06,2500000.0,2500000.0,historical_valuation,1,14.731801689838347,2200000.0,2400000.0,300000.0,100000.0,0.1363636363636364,0.0416666666666667,2500000.0,1.0,56.0,0.1575654152445961,0.3125,Sampdoria,0.0,0.5,-1.236842105263158,Sampdoria,1.0,,,same_team_copy_old,Serie A,0.0,0.5,-1.236842105263158,0,0.0,0.0,0.0,mehdi leris,sampdoria,STABLE_BIG5_REVIEW,0.6988038277511962
Cyrus Christie,ie IRL,Fulham,Premier League,2018-2019,2019-2020,"DF,MF",MF,25.0,False,19.0,1948.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0462012320328542,0.0462012320328542,0.0,0,2018,2019,17900,cyrus christie,fulham,158623.0,exact_normalized_unique,A,2019-08-09,2019-08-08,duckdb_big5_first_game,no_summer_event,0,0,,Fulham,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,fulham,0,1,0,0,0,0,,,,,0,0,,,3500000.0,2019-06-13,3500000.0,3500000.0,2018-12-19,3500000.0,3000000.0,2018-02-27,3000000.0,3500000.0,historical_valuation,1,15.068273812173889,3500000.0,3000000.0,0.0,500000.0,0.0,0.1666666666666667,3500000.0,1.0,56.0,0.2290286975717439,0.4375,Fulham,0.0526315789473684,0.6842105263157895,-1.236842105263158,Fulham,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.6842105263157895,-1.236842105263158,0,0.0,0.0,0.0,cyrus christie,fulham,STABLE_BIG5_REVIEW,0.6979665071770336
Filippo Falco,it ITA,Lecce,Serie A,2019-2020,2020-2021,"FW,MF",FW,27.0,False,24.0,2014.0,4.0,6.0,4.0,0.0,0.0,0.1787487586891757,0.2681231380337636,0.4468718967229394,0.0,0,2019,2020,18946,filippo falco,lecce,70689.0,exact_normalized_unique,A,2020-08-21,2020-08-20,duckdb_big5_first_game,no_summer_event,0,0,,Lecce,Serie A,Italy,0,0,0,,,,,,,,,,,,,,,0,lecce,0,1,0,0,0,0,,,,,0,0,,,3200000.0,2020-04-08,4000000.0,4000000.0,2019-12-12,4000000.0,2500000.0,2019-06-05,2500000.0,3200000.0,historical_valuation,1,14.978661680269909,4000000.0,2500000.0,-800000.0,700000.0,-0.1999999999999999,0.28,4000000.0,0.8,134.0,0.214699074074074,0.2909090909090909,Lecce,0.1052631578947368,0.9210526315789472,-0.868421052631579,Lecce,1.0,,,same_team_copy_old,Serie A,0.1052631578947368,0.9210526315789472,-0.868421052631579,0,0.0,0.0,0.0,filippo falco,lecce,STABLE_BIG5_REVIEW,0.6973684210526315
Vincent Marchetti,fr FRA,Ajaccio,Ligue 1,2022-2023,2023-2024,MF,MF,25.0,False,29.0,2452.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0734094616639478,0.0734094616639478,0.0,0,2022,2023,22391,vincent marchetti,ajaccio,374040.0,exact_normalized_unique,A,2023-08-11,2023-08-10,duckdb_big5_first_game,no_summer_event,0,0,,Ajaccio,Ligue 1,France,0,0,0,,,,,,,,,,,,,,,0,ajaccio,0,1,0,0,0,0,,,,,0,0,,,2500000.0,2023-06-27,3000000.0,3000000.0,2022-11-02,3000000.0,1200000.0,2022-06-02,1200000.0,2500000.0,historical_valuation,1,14.731801689838347,3000000.0,1200000.0,-500000.0,1300000.0,-0.1666666666666666,1.0833333333333337,3000000.0,0.8333333333333334,44.0,0.1575654152445961,0.3125,Ajaccio,0.1052631578947368,0.6842105263157895,-1.3421052631578947,Ajaccio,1.0,,,same_team_copy_old,Ligue 1,0.1052631578947368,0.6842105263157895,-1.3421052631578947,0,0.0,0.0,0.0,vincent marchetti,ajaccio,STABLE_BIG5_REVIEW,0.6954545454545455
Abel Hernández,uy URU,Hull City,Premier League,2016-2017,2017-2018,FW,FW,25.0,False,16.0,1425.0,4.0,3.0,4.0,0.0,0.0,0.2526315789473684,0.1894736842105263,0.4421052631578948,0.0,0,2016,2017,15787,abel hernandez,hull city,76608.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_summer_event,0,0,,Hull City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,hull city,0,1,0,0,0,0,,,,,0,0,,,8000000.0,2017-06-28,8000000.0,8000000.0,2016-08-01,8000000.0,8000000.0,2016-08-01,8000000.0,8000000.0,historical_valuation,1,15.894952224644102,8000000.0,8000000.0,0.0,0.0,0.0,0.0,8000000.0,1.0,36.0,0.638477801268499,1.1428571428571428,Hull,0.1052631578947368,0.8947368421052632,-1.131578947368421,Hull,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.8947368421052632,-1.131578947368421,0,0.0,0.0,0.0,abel hernandez,hull city,STABLE_BIG5_REVIEW,0.6948564593301435
Callum Robinson,ie IRL,West Brom,Premier League,2020-2021,2021-2022,"FW,MF",FW,25.0,False,20.0,1560.0,5.0,0.0,5.0,0.0,0.0,0.2884615384615384,0.0,0.2884615384615384,0.0,0,2020,2021,19731,callum robinson,west brom,183299.0,exact_normalized_unique,A,2021-08-06,2021-08-05,duckdb_big5_first_game,no_summer_event,0,0,,West Brom,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,west brom,0,1,0,0,0,0,,,,,0,0,,,6000000.0,2021-06-08,8000000.0,8000000.0,2020-10-13,8000000.0,5500000.0,2020-04-08,7000000.0,6000000.0,historical_valuation,1,15.607270193858982,8000000.0,5500000.0,-2000000.0,500000.0,-0.25,0.0909090909090908,8000000.0,0.75,58.0,0.3872387238723872,0.6,West Brom,0.0526315789473684,0.6842105263157895,-1.0789473684210529,West Brom,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.6842105263157895,-1.0789473684210529,0,0.0,0.0,0.0,callum robinson,west brom,STABLE_BIG5_REVIEW,0.694377990430622
