player,nation,team,league,season,target_season,position,position_group,age,matched_next,starts,minutes,goals,assists,non_penalty_goals,penalty_goals,penalty_attempts,goals_per90,assists_per90,goal_contrib_per90,next_goals,next_10plus,season_start,target_year,row_id,norm_player,norm_current_team,tm_player_id,match_method,match_confidence,first_big5_game_date,cutoff_date,cutoff_source,timeline_status,confirmed_preseason_event_count,preseason_team_transition_count,selected_event_id,destination_team,destination_league,destination_country,unknown_date_context_event_count_audit,post_cutoff_context_event_count_audit,context_mismatch_pre_event_count_audit,timeline_trace,tr_event_id,tr_transfer_date,tr_from_club,tr_to_club,tr_from_league,tr_to_league,tr_from_country,tr_to_country,tr_transfer_fee_eur,tr_transfer_market_value_eur,tr_is_loan,tr_db_date_match_method,tr_db_match_score,transfer_event_preseason,norm_destination_team,changed_team_preseason,destination_in_big5,same_league_transfer,league_changed,country_changed,is_loan_preseason,transfer_date_preseason,days_since_transfer,transfer_fee_eur,transfer_market_value_eur,transfer_fee_known,transfer_fee_positive,log_transfer_fee,fee_to_transfer_market_value_ratio,mv_preseason_value_eur,mv_preseason_valuation_date,mv_preseason_peak_eur,mv_6m_value_eur,mv_6m_valuation_date,mv_6m_peak_eur,mv_12m_value_eur,mv_12m_valuation_date,mv_12m_peak_eur,market_value_preseason_eur,market_value_source,market_value_known,log_market_value,market_value_6m_eur,market_value_12m_eur,market_value_change_6m_eur,market_value_change_12m_eur,market_value_growth_6m,market_value_growth_12m,market_value_peak_to_cutoff_eur,market_value_vs_peak,valuation_age_days,market_value_percentile,market_value_vs_position_median,old_team_stats_name,old_team_rank_pct,old_team_points_per_game,old_team_goal_diff_per_game,new_team_stats_name,new_team_match_score,new_team_second_score,new_team_match_margin,new_team_match_method,new_team_strength_league,new_team_prev_rank_pct,new_team_prev_points_per_game,new_team_prev_goal_diff_per_game,new_team_strength_missing,team_rank_change,team_points_change,team_goal_diff_change,audit_norm_player,audit_norm_team,audit_status,review_priority_score
Rúben Neves,pt POR,Wolves,Premier League,2022-2023,2023-2024,MF,MF,25.0,False,33.0,3019.0,6.0,1.0,3.0,3.0,3.0,0.1788671745611129,0.0298111957601854,0.2086783703212984,0.0,0,2022,2023,22281,ruben neves,wolves,225161.0,exact_normalized_unique,A,2023-08-11,2023-08-10,duckdb_big5_first_game,no_confirmed_pre_cutoff_event,0,0,,Wolves,Premier League,England,0,0,1,,,,,,,,,,,,,,,0,wolves,0,1,0,0,0,0,,,,,0,0,,,40000000.0,2023-06-20,50000000.0,40000000.0,2022-11-03,50000000.0,40000000.0,2022-06-15,50000000.0,40000000.0,historical_valuation,1,17.50439003707821,40000000.0,40000000.0,0.0,0.0,0.0,0.0,50000000.0,0.8,51.0,0.9010238907849828,5.0,Wolves,0.368421052631579,1.0789473684210529,-0.7105263157894737,Wolves,1.0,,,same_team_copy_old,Premier League,0.368421052631579,1.0789473684210529,-0.7105263157894737,0,0.0,0.0,0.0,ruben neves,wolves,STABLE_BIG5_REVIEW,0.9909090909090909
Aleksandar Mitrović,rs SRB,Fulham,Premier League,2018-2019,2019-2020,FW,FW,23.0,False,37.0,3280.0,11.0,3.0,10.0,1.0,1.0,0.3018292682926829,0.0823170731707317,0.3841463414634146,0.0,0,2018,2019,17754,aleksandar mitrovic,fulham,51152.0,exact_normalized_unique,A,2019-08-09,2019-08-08,duckdb_big5_first_game,no_summer_event,0,0,,Fulham,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,fulham,0,1,0,0,0,0,,,,,0,0,,,25000000.0,2019-06-13,25000000.0,25000000.0,2018-12-19,25000000.0,15000000.0,2018-06-06,15000000.0,25000000.0,historical_valuation,1,17.034386422832473,25000000.0,15000000.0,0.0,10000000.0,0.0,0.6666666666666667,25000000.0,1.0,56.0,0.7864238410596026,2.5,Fulham,0.0526315789473684,0.6842105263157895,-1.236842105263158,Fulham,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.6842105263157895,-1.236842105263158,0,0.0,0.0,0.0,aleksandar mitrovic,fulham,STABLE_BIG5_REVIEW,0.9901913875598085
Rodri,es ESP,Manchester City,Premier League,2021-2022,2022-2023,MF,MF,25.0,False,33.0,2884.0,7.0,2.0,7.0,0.0,0.0,0.2184466019417475,0.0624133148404993,0.2808599167822468,0.0,0,2021,2022,21316,rodri,manchester city,357565.0,exact_name_age_resolved,B,2022-08-05,2022-08-04,duckdb_big5_first_game,no_summer_event,0,0,,Manchester City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,manchester city,0,1,0,0,0,0,,,,,0,0,,,80000000.0,2022-06-15,80000000.0,70000000.0,2021-12-23,80000000.0,70000000.0,2021-05-31,80000000.0,80000000.0,historical_valuation,1,18.197537205138158,70000000.0,70000000.0,10000000.0,10000000.0,0.1428571428571428,0.1428571428571428,80000000.0,1.0,50.0,0.9867052023121388,9.411764705882351,Man City,1.0,2.4473684210526314,1.921052631578948,Man City,1.0,,,same_team_copy_old,Premier League,1.0,2.4473684210526314,1.921052631578948,0,0.0,0.0,0.0,rodri,manchester city,STABLE_BIG5_REVIEW,0.9870813397129187
Allan,br BRA,Napoli,Serie A,2017-2018,2018-2019,MF,MF,26.0,False,32.0,2850.0,4.0,5.0,4.0,0.0,0.0,0.1263157894736842,0.1578947368421052,0.2842105263157894,0.0,0,2017,2018,16816,allan,napoli,126422.0,exact_name_age_resolved,B,2018-08-10,2018-08-09,duckdb_big5_first_game,no_summer_event,0,0,,Napoli,Serie A,Italy,0,0,0,,,,,,,,,,,,,,,0,napoli,0,1,0,0,0,0,,,,,0,0,,,33000000.0,2018-06-07,33000000.0,20000000.0,2017-12-29,20000000.0,16000000.0,2017-06-08,17000000.0,33000000.0,historical_valuation,1,17.312018149733785,20000000.0,16000000.0,13000000.0,17000000.0,0.6499999999999999,1.0625,33000000.0,1.0,63.0,0.8896247240618101,5.5,Napoli,0.9473684210526316,2.394736842105264,1.263157894736842,Napoli,1.0,,,same_team_copy_old,Serie A,0.9473684210526316,2.394736842105264,1.263157894736842,0,0.0,0.0,0.0,allan,napoli,STABLE_BIG5_REVIEW,0.9811004784688995
Joe Allen,wls WAL,Stoke City,Premier League,2017-2018,2018-2019,MF,MF,27.0,False,36.0,3139.0,2.0,6.0,2.0,0.0,0.0,0.0573431028990124,0.1720293086970372,0.2293724115960497,0.0,0,2017,2018,17197,joe allen,stoke city,51452.0,exact_normalized_unique,A,2018-08-10,2018-08-09,duckdb_big5_first_game,no_summer_event,0,0,,Stoke City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,stoke city,0,1,0,0,0,0,,,,,0,0,,,18000000.0,2018-05-28,18000000.0,18000000.0,2018-01-02,18000000.0,15000000.0,2017-06-28,15000000.0,18000000.0,historical_valuation,1,16.705882371415992,18000000.0,15000000.0,0.0,3000000.0,0.0,0.1999999999999999,18000000.0,1.0,73.0,0.7632450331125827,3.0,Stoke,0.0526315789473684,0.868421052631579,-0.868421052631579,Stoke,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.868421052631579,-0.868421052631579,0,0.0,0.0,0.0,joe allen,stoke city,STABLE_BIG5_REVIEW,0.9758373205741626
Jefferson Lerma,co COL,Bournemouth,Premier League,2019-2020,2020-2021,MF,MF,24.0,False,31.0,2703.0,1.0,2.0,1.0,0.0,0.0,0.0332963374028856,0.0665926748057713,0.099889012208657,0.0,0,2019,2020,19074,jefferson lerma,bournemouth,262980.0,exact_normalized_unique,A,2020-08-21,2020-08-20,duckdb_big5_first_game,no_summer_event,0,0,,Bournemouth,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,bournemouth,0,1,0,0,0,0,,,,,0,0,,,20000000.0,2020-04-08,25000000.0,25000000.0,2019-12-10,25000000.0,25000000.0,2019-06-13,25000000.0,20000000.0,historical_valuation,1,16.811242881518265,25000000.0,25000000.0,-5000000.0,-5000000.0,-0.1999999999999999,-0.1999999999999999,25000000.0,0.8,134.0,0.7395833333333334,2.6666666666666665,Bournemouth,0.1052631578947368,0.8947368421052632,-0.6578947368421053,Bournemouth,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.8947368421052632,-0.6578947368421053,0,0.0,0.0,0.0,jefferson lerma,bournemouth,STABLE_BIG5_REVIEW,0.9622009569377992
Rodrigo,es ESP,Valencia,La Liga,2018-2019,2019-2020,FW,FW,27.0,False,29.0,2528.0,8.0,6.0,8.0,0.0,1.0,0.2848101265822785,0.2136075949367088,0.4984177215189873,0.0,0,2018,2019,18513,rodrigo,valencia,131505.0,exact_normalized_unique,A,2019-08-09,2019-08-08,duckdb_big5_first_game,no_summer_event,0,0,,Valencia,La Liga,Spain,0,0,0,,,,,,,,,,,,,,,0,valencia,0,1,0,0,0,0,,,,,0,0,,,50000000.0,2019-06-11,50000000.0,30000000.0,2018-12-21,50000000.0,50000000.0,2018-07-15,50000000.0,50000000.0,historical_valuation,1,17.72753358339242,30000000.0,50000000.0,20000000.0,0.0,0.6666666666666667,0.0,50000000.0,1.0,58.0,0.9238410596026492,5.0,Valencia,0.8421052631578947,1.605263157894737,0.4210526315789473,Valencia,1.0,,,same_team_copy_old,La Liga,0.8421052631578947,1.605263157894737,0.4210526315789473,0,0.0,0.0,0.0,rodrigo,valencia,STABLE_BIG5_REVIEW,0.9601674641148326
Gustavo Hamer,NED,Sheffield Utd,Premier League,2023-2024,2024-2025,MF,MF,26.0,False,34.0,2910.0,4.0,6.0,4.0,0.0,0.0,0.1237113402061855,0.1855670103092783,0.3092783505154639,0.0,0,2023,2024,22753,gustavo hamer,sheffield utd,322985.0,exact_normalized_unique,A,2024-08-15,2024-08-14,duckdb_big5_first_game,no_summer_event,0,0,,Sheffield Utd,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,sheffield utd,0,1,0,0,0,0,,,,,0,0,,,15000000.0,2024-05-27,16000000.0,16000000.0,2023-12-19,16000000.0,8000000.0,2023-06-01,8000000.0,15000000.0,historical_valuation,1,16.52356082573315,16000000.0,8000000.0,-1000000.0,7000000.0,-0.0625,0.875,16000000.0,0.9375,79.0,0.6334106728538283,1.875,Sheffield United,0.0,0.4210526315789473,-1.8157894736842104,Sheffield United,1.0,,,same_team_copy_old,Premier League,0.0,0.4210526315789473,-1.8157894736842104,0,0.0,0.0,0.0,gustavo hamer,sheffield utd,STABLE_BIG5_REVIEW,0.9593301435406698
Houssem Aouar,fr FRA,Lyon,Ligue 1,2021-2022,2022-2023,"MF,FW",FW,23.0,False,29.0,2504.0,6.0,4.0,6.0,0.0,0.0,0.2156549520766773,0.1437699680511182,0.3594249201277955,0.0,0,2021,2022,20882,houssem aouar,lyon,395693.0,exact_normalized_unique,A,2022-08-05,2022-08-04,duckdb_big5_first_game,no_summer_event,0,0,,Lyon,Ligue 1,France,0,0,0,,,,,,,,,,,,,,,0,lyon,0,1,0,0,0,0,,,,,0,0,,,25000000.0,2022-05-30,55000000.0,32000000.0,2021-12-16,55000000.0,42000000.0,2021-06-04,55000000.0,25000000.0,historical_valuation,1,17.034386422832473,32000000.0,42000000.0,-7000000.0,-17000000.0,-0.21875,-0.4047619047619047,55000000.0,0.4545454545454545,66.0,0.8196531791907514,2.1739130434782608,Lyon,0.6842105263157895,1.631578947368421,0.3947368421052631,Lyon,1.0,,,same_team_copy_old,Ligue 1,0.6842105263157895,1.631578947368421,0.3947368421052631,0,0.0,0.0,0.0,houssem aouar,lyon,STABLE_BIG5_REVIEW,0.95
Carlton Morris,ENG,Luton Town,Premier League,2023-2024,2024-2025,"FW,MF",FW,27.0,False,32.0,2862.0,11.0,4.0,6.0,5.0,5.0,0.3459119496855345,0.1257861635220125,0.4716981132075472,0.0,0,2023,2024,22580,carlton morris,luton town,246963.0,exact_normalized_unique,A,2024-08-15,2024-08-14,duckdb_big5_first_game,no_summer_event,0,0,,Luton Town,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,luton town,0,1,0,0,0,0,,,,,0,0,,,13000000.0,2024-05-27,13000000.0,13000000.0,2023-12-19,13000000.0,6000000.0,2023-06-01,6000000.0,13000000.0,historical_valuation,1,16.380459992348886,13000000.0,6000000.0,0.0,7000000.0,0.0,1.1666666666666663,13000000.0,1.0,79.0,0.6020881670533643,1.0833333333333333,Luton,0.1052631578947368,0.6842105263157895,-0.868421052631579,Luton,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.6842105263157895,-0.868421052631579,0,0.0,0.0,0.0,carlton morris,luton town,STABLE_BIG5_REVIEW,0.9488038277511962
Jay Rodriguez,eng ENG,West Brom,Premier League,2017-2018,2018-2019,"FW,MF",FW,28.0,False,31.0,2812.0,7.0,1.0,6.0,1.0,1.0,0.2240398293029872,0.0320056899004267,0.2560455192034139,0.0,0,2017,2018,17174,jay rodriguez,west brom,53360.0,exact_normalized_unique,A,2018-08-10,2018-08-09,duckdb_big5_first_game,no_summer_event,0,0,,West Brom,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,west brom,0,1,0,0,0,0,,,,,0,0,,,12000000.0,2018-05-28,13000000.0,10000000.0,2018-01-02,13000000.0,10000000.0,2017-06-28,13000000.0,12000000.0,historical_valuation,1,16.300417291085605,10000000.0,10000000.0,2000000.0,2000000.0,0.1999999999999999,0.1999999999999999,13000000.0,0.9230769230769232,73.0,0.6721854304635762,1.6,West Brom,0.0,0.8157894736842105,-0.6578947368421053,West Brom,1.0,,,same_team_copy_old,Premier League,0.0,0.8157894736842105,-0.6578947368421053,0,0.0,0.0,0.0,jay rodriguez,west brom,STABLE_BIG5_REVIEW,0.9400717703349282
Todd Cantwell,eng ENG,Norwich City,Premier League,2019-2020,2020-2021,"FW,MF",FW,21.0,False,30.0,2489.0,6.0,2.0,6.0,0.0,0.0,0.2169546002410606,0.0723182000803535,0.2892728003214142,0.0,0,2019,2020,19529,todd cantwell,norwich city,332341.0,exact_normalized_unique,A,2020-08-21,2020-08-20,duckdb_big5_first_game,no_summer_event,0,0,,Norwich City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,norwich city,0,1,0,0,0,0,,,,,0,0,,,20000000.0,2020-04-08,22000000.0,15000000.0,2019-12-10,15000000.0,1000000.0,2019-06-28,1000000.0,20000000.0,historical_valuation,1,16.811242881518265,15000000.0,1000000.0,5000000.0,19000000.0,0.3333333333333332,19.0,22000000.0,0.9090909090909092,134.0,0.7395833333333334,1.818181818181818,Norwich,0.0,0.5526315789473685,-1.2894736842105263,Norwich,1.0,,,same_team_copy_old,Premier League,0.0,0.5526315789473685,-1.2894736842105263,0,0.0,0.0,0.0,todd cantwell,norwich city,STABLE_BIG5_REVIEW,0.939712918660287
Salomón Rondón,ve VEN,Newcastle Utd,Premier League,2018-2019,2019-2020,FW,FW,28.0,False,30.0,2603.0,11.0,7.0,11.0,0.0,0.0,0.3803303880138302,0.2420284287360737,0.6223588167499039,0.0,0,2018,2019,18545,salomon rondon,newcastle utd,80197.0,exact_normalized_unique,A,2019-08-09,2019-08-08,duckdb_big5_first_game,no_summer_event,0,0,,Newcastle Utd,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,newcastle utd,0,1,0,0,0,0,,,,,0,0,,,15000000.0,2019-06-28,17000000.0,15000000.0,2018-12-19,17000000.0,13000000.0,2018-05-28,17000000.0,15000000.0,historical_valuation,1,16.52356082573315,15000000.0,13000000.0,0.0,2000000.0,0.0,0.1538461538461537,17000000.0,0.8823529411764706,41.0,0.6462472406181016,1.5,Newcastle,0.368421052631579,1.1842105263157894,-0.1578947368421052,Newcastle,1.0,,,same_team_copy_old,Premier League,0.368421052631579,1.1842105263157894,-0.1578947368421052,0,0.0,0.0,0.0,salomon rondon,newcastle utd,STABLE_BIG5_REVIEW,0.9382775119617225
Matheus Pereira,pt POR,West Brom,Premier League,2020-2021,2021-2022,"MF,FW",FW,24.0,False,30.0,2577.0,11.0,6.0,7.0,4.0,4.0,0.3841676367869616,0.209545983701979,0.5937136204889406,0.0,0,2020,2021,20186,matheus pereira,west brom,225984.0,exact_name_age_resolved,B,2021-08-06,2021-08-05,duckdb_big5_first_game,no_summer_event,0,0,,West Brom,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,west brom,0,1,0,0,0,0,,,,,0,0,,,15000000.0,2021-06-08,15000000.0,13000000.0,2020-10-13,13000000.0,9500000.0,2020-04-08,12000000.0,15000000.0,historical_valuation,1,16.52356082573315,13000000.0,9500000.0,2000000.0,5500000.0,0.1538461538461537,0.5789473684210527,15000000.0,1.0,58.0,0.641914191419142,1.5,West Brom,0.0526315789473684,0.6842105263157895,-1.0789473684210529,West Brom,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.6842105263157895,-1.0789473684210529,0,0.0,0.0,0.0,matheus pereira,west brom,STABLE_BIG5_REVIEW,0.9373205741626794
Armand Lauriente,FRA,Sassuolo,Serie A,2023-2024,2024-2025,FW,FW,24.0,False,35.0,2908.0,5.0,4.0,5.0,0.0,0.0,0.15474552957359,0.123796423658872,0.2785419532324621,0.0,0,2023,2024,22520,armand lauriente,sassuolo,579930.0,exact_normalized_unique,A,2024-08-15,2024-08-14,duckdb_big5_first_game,no_summer_event,0,0,,Sassuolo,Serie A,Italy,0,0,0,,,,,,,,,,,,,,,0,sassuolo,0,1,0,0,0,0,,,,,0,0,,,10000000.0,2024-06-05,18000000.0,16000000.0,2023-12-20,18000000.0,18000000.0,2023-06-15,18000000.0,10000000.0,historical_valuation,1,16.118095750958314,16000000.0,18000000.0,-6000000.0,-8000000.0,-0.375,-0.4444444444444444,18000000.0,0.5555555555555556,70.0,0.5174013921113689,0.8333333333333334,Sassuolo,0.0526315789473684,0.7894736842105263,-0.8421052631578947,Sassuolo,1.0,,,same_team_copy_old,Serie A,0.0526315789473684,0.7894736842105263,-0.8421052631578947,0,0.0,0.0,0.0,armand lauriente,sassuolo,STABLE_BIG5_REVIEW,0.9345693779904305
Sergi Darder,es ESP,Espanyol,La Liga,2019-2020,2020-2021,MF,MF,25.0,False,29.0,2658.0,2.0,1.0,2.0,0.0,0.0,0.0677200902934537,0.0338600451467268,0.1015801354401805,0.0,0,2019,2020,19479,sergi darder,espanyol,142021.0,exact_normalized_unique,A,2020-08-21,2020-08-20,duckdb_big5_first_game,no_summer_event,0,0,,Espanyol,La Liga,Spain,0,0,0,,,,,,,,,,,,,,,0,espanyol,0,1,0,0,0,0,,,,,0,0,,,11000000.0,2020-04-08,14000000.0,14000000.0,2019-12-20,14000000.0,14000000.0,2019-06-11,14000000.0,11000000.0,historical_valuation,1,16.213405921671733,14000000.0,14000000.0,-3000000.0,-3000000.0,-0.2142857142857143,-0.2142857142857143,14000000.0,0.7857142857142857,134.0,0.5503472222222222,1.4666666666666666,Espanol,0.0,0.6578947368421053,-0.8157894736842105,Espanol,1.0,,,same_team_copy_old,La Liga,0.0,0.6578947368421053,-0.8157894736842105,0,0.0,0.0,0.0,sergi darder,espanyol,STABLE_BIG5_REVIEW,0.9276315789473685
Philip Billing,dk DEN,Bournemouth,Premier League,2019-2020,2020-2021,MF,MF,23.0,False,29.0,2530.0,1.0,1.0,1.0,0.0,0.0,0.0355731225296442,0.0355731225296442,0.0711462450592885,0.0,0,2019,2020,19381,philip billing,bournemouth,320411.0,exact_normalized_unique,A,2020-08-21,2020-08-20,duckdb_big5_first_game,no_summer_event,0,0,,Bournemouth,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,bournemouth,0,1,0,0,0,0,,,,,0,0,,,14500000.0,2020-04-08,18000000.0,18000000.0,2019-12-10,18000000.0,7000000.0,2019-06-13,7000000.0,14500000.0,historical_valuation,1,16.489659276356317,18000000.0,7000000.0,-3500000.0,7500000.0,-0.1944444444444444,1.0714285714285716,18000000.0,0.8055555555555556,134.0,0.6284722222222222,1.9333333333333331,Bournemouth,0.1052631578947368,0.8947368421052632,-0.6578947368421053,Bournemouth,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.8947368421052632,-0.6578947368421053,0,0.0,0.0,0.0,philip billing,bournemouth,STABLE_BIG5_REVIEW,0.9269138755980861
Kiernan Dewsbury-Hall,eng ENG,Leicester City,Premier League,2022-2023,2023-2024,MF,MF,23.0,False,28.0,2306.0,2.0,2.0,2.0,0.0,0.0,0.0780572419774501,0.0780572419774501,0.1561144839549002,0.0,0,2022,2023,21981,kiernan dewsbury hall,leicester city,475188.0,exact_normalized_unique,A,2023-08-11,2023-08-10,duckdb_big5_first_game,no_summer_event,0,0,,Leicester City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,leicester city,0,1,0,0,0,0,,,,,0,0,,,25000000.0,2023-06-20,25000000.0,20000000.0,2022-11-03,20000000.0,8000000.0,2022-06-15,8000000.0,25000000.0,historical_valuation,1,17.034386422832473,20000000.0,8000000.0,5000000.0,17000000.0,0.25,2.125,25000000.0,1.0,51.0,0.7906712172923777,3.125,Leicester,0.1052631578947368,0.8947368421052632,-0.4473684210526316,Leicester,1.0,,,same_team_copy_old,Premier League,0.1052631578947368,0.8947368421052632,-0.4473684210526316,0,0.0,0.0,0.0,kiernan dewsbury hall,leicester city,STABLE_BIG5_REVIEW,0.9236842105263158
Zinedine Ferhat,dz ALG,Nîmes,Ligue 1,2020-2021,2021-2022,"FW,MF",FW,27.0,False,33.0,2957.0,6.0,10.0,5.0,1.0,1.0,0.1826175177544808,0.3043625295908014,0.4869800473452824,0.0,0,2020,2021,20556,zinedine ferhat,nimes,232895.0,exact_normalized_unique,A,2021-08-06,2021-08-05,duckdb_big5_first_game,no_summer_event,0,0,,Nîmes,Ligue 1,France,0,0,0,,,,,,,,,,,,,,,0,nimes,0,1,0,0,0,0,,,,,0,0,,,8000000.0,2021-06-04,8000000.0,7000000.0,2021-01-07,7000000.0,2800000.0,2020-04-08,3500000.0,8000000.0,historical_valuation,1,15.894952224644102,7000000.0,2800000.0,1000000.0,5200000.0,0.1428571428571428,1.8571428571428568,8000000.0,1.0,62.0,0.4719471947194719,0.8,Nimes,0.0526315789473684,0.9210526315789472,-0.8157894736842105,Nimes,1.0,,,same_team_copy_old,Ligue 1,0.0526315789473684,0.9210526315789472,-0.8157894736842105,0,0.0,0.0,0.0,zinedine ferhat,nimes,STABLE_BIG5_REVIEW,0.9161483253588516
Steven Nzonzi,fr FRA,Rennes,Ligue 1,2020-2021,2021-2022,MF,MF,31.0,False,33.0,2908.0,1.0,1.0,1.0,0.0,0.0,0.030949105914718,0.030949105914718,0.061898211829436,0.0,0,2020,2021,20464,steven nzonzi,rennes,73734.0,exact_normalized_unique,A,2021-08-06,2021-08-05,duckdb_big5_first_game,no_confirmed_pre_cutoff_event,0,0,,Rennes,Ligue 1,France,0,0,1,,,,,,,,,,,,,,,0,rennes,0,1,0,0,0,0,,,,,0,0,,,8000000.0,2021-06-04,30000000.0,10000000.0,2021-01-07,30000000.0,11000000.0,2020-04-08,30000000.0,8000000.0,historical_valuation,1,15.894952224644102,10000000.0,11000000.0,-2000000.0,-3000000.0,-0.1999999999999999,-0.2727272727272727,30000000.0,0.2666666666666666,62.0,0.4719471947194719,1.0,Rennes,0.736842105263158,1.5263157894736843,0.3157894736842105,Rennes,1.0,,,same_team_copy_old,Ligue 1,0.736842105263158,1.5263157894736843,0.3157894736842105,0,0.0,0.0,0.0,steven nzonzi,rennes,STABLE_BIG5_REVIEW,0.9130382775119616
Jake Livermore,eng ENG,West Brom,Premier League,2017-2018,2018-2019,MF,MF,27.0,False,30.0,2674.0,2.0,2.0,2.0,0.0,0.0,0.0673148840688107,0.0673148840688107,0.1346297681376215,0.0,0,2017,2018,17153,jake livermore,west brom,61832.0,exact_normalized_unique,A,2018-08-10,2018-08-09,duckdb_big5_first_game,no_summer_event,0,0,,West Brom,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,west brom,0,1,0,0,0,0,,,,,0,0,,,9000000.0,2018-05-28,9000000.0,9000000.0,2018-01-02,9000000.0,7000000.0,2017-06-28,7000000.0,9000000.0,historical_valuation,1,16.012735246411598,9000000.0,7000000.0,0.0,2000000.0,0.0,0.2857142857142858,9000000.0,1.0,73.0,0.5894039735099338,1.5,West Brom,0.0,0.8157894736842105,-0.6578947368421053,West Brom,1.0,,,same_team_copy_old,Premier League,0.0,0.8157894736842105,-0.6578947368421053,0,0.0,0.0,0.0,jake livermore,west brom,STABLE_BIG5_REVIEW,0.9118421052631579
Teemu Pukki,fi FIN,Norwich City,Premier League,2019-2020,2020-2021,FW,FW,29.0,False,33.0,2886.0,11.0,3.0,9.0,2.0,2.0,0.343035343035343,0.0935550935550935,0.4365904365904365,0.0,0,2019,2020,19513,teemu pukki,norwich city,46972.0,exact_normalized_unique,A,2020-08-21,2020-08-20,duckdb_big5_first_game,no_summer_event,0,0,,Norwich City,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,norwich city,0,1,0,0,0,0,,,,,0,0,,,8000000.0,2020-04-08,10000000.0,10000000.0,2019-12-10,10000000.0,6000000.0,2019-06-28,6000000.0,8000000.0,historical_valuation,1,15.894952224644102,10000000.0,6000000.0,-2000000.0,2000000.0,-0.1999999999999999,0.3333333333333332,10000000.0,0.8,134.0,0.458912037037037,0.7272727272727273,Norwich,0.0,0.5526315789473685,-1.2894736842105263,Norwich,1.0,,,same_team_copy_old,Premier League,0.0,0.5526315789473685,-1.2894736842105263,0,0.0,0.0,0.0,teemu pukki,norwich city,STABLE_BIG5_REVIEW,0.9118421052631579
Ethan Ampadu,wls WAL,Spezia,Serie A,2022-2023,2023-2024,"DF,MF",MF,21.0,False,31.0,2639.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0341038272072754,0.0341038272072754,0.0,0,2022,2023,21749,ethan ampadu,spezia,392771.0,exact_normalized_unique,A,2023-08-11,2023-08-10,duckdb_big5_first_game,no_confirmed_pre_cutoff_event,0,0,,Spezia,Serie A,Italy,0,0,1,,,,,,,,,,,,,,,0,spezia,0,1,0,0,0,0,,,,,0,0,,,9000000.0,2023-06-15,15000000.0,9000000.0,2022-11-11,15000000.0,13000000.0,2022-06-07,15000000.0,9000000.0,historical_valuation,1,16.012735246411598,9000000.0,13000000.0,0.0,-4000000.0,0.0,-0.3076923076923077,15000000.0,0.6,56.0,0.4835039817974971,1.125,Spezia,0.1052631578947368,0.8157894736842105,-0.8157894736842105,Spezia,1.0,,,same_team_copy_old,Serie A,0.1052631578947368,0.8157894736842105,-0.8157894736842105,0,0.0,0.0,0.0,ethan ampadu,spezia,STABLE_BIG5_REVIEW,0.9089712918660287
Álvaro Negredo,es ESP,Middlesbrough,Premier League,2016-2017,2017-2018,FW,FW,30.0,False,33.0,2870.0,9.0,5.0,7.0,2.0,2.0,0.2822299651567944,0.156794425087108,0.4390243902439024,0.0,0,2016,2017,15843,alvaro negredo,middlesbrough,18644.0,exact_normalized_unique,A,2017-08-04,2017-08-03,duckdb_big5_first_game,no_confirmed_pre_cutoff_event,0,0,,Middlesbrough,Premier League,England,0,0,0,,,,,,,,,,,,,,,0,middlesbrough,0,1,0,0,0,0,,,,,0,0,,,7500000.0,2017-06-28,27000000.0,7500000.0,2016-07-15,27000000.0,7500000.0,2016-07-15,27000000.0,7500000.0,historical_valuation,1,15.830413711839864,7500000.0,7500000.0,0.0,0.0,0.0,0.0,27000000.0,0.2777777777777778,36.0,0.6094080338266384,1.0714285714285714,Middlesbrough,0.0526315789473684,0.7368421052631579,-0.6842105263157895,Middlesbrough,1.0,,,same_team_copy_old,Premier League,0.0526315789473684,0.7368421052631579,-0.6842105263157895,0,0.0,0.0,0.0,alvaro negredo,middlesbrough,STABLE_BIG5_REVIEW,0.9037081339712919
