season,n,presence_n,presence_rate,exit_n,exit_rate
2016-2017,993,832,0.837865055387714,161,0.16213494461228595
2017-2018,954,825,0.8647798742138365,129,0.1352201257861635
2018-2019,956,807,0.8441422594142259,149,0.15585774058577406
2019-2020,914,788,0.862144420131291,126,0.137855579868709
2020-2021,960,834,0.86875,126,0.13124999999999998
2021-2022,934,778,0.8329764453961456,156,0.16702355460385443
2022-2023,938,738,0.7867803837953091,200,0.21321961620469088
2023-2024,923,769,0.8331527627302275,154,0.16684723726977246
