model,fold,outer_val_season,target_season,train_n,val_n,best_inner_mae,selected_rounds,fit_seconds,mae,rmse,r2,bias,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias
Tuned_CatBoost,1,2020-2021,2021-2022,16284,834,2.3519991718018405,289,22.22005669999635,2.3480008435775437,3.3618023421064596,0.4816158922267624,0.11047739936225884,92,5.934657476589045,-5.369429961689918,31,8.332360916257787,-7.601594209223909,13,9.810775849417727,-9.029409007538094
Tuned_CatBoost,2,2021-2022,2022-2023,17118,778,2.3486291565508473,185,8.02612469997257,2.467645509402066,3.4898228854540916,0.42282524297902235,0.1689553972847193,76,6.491231084142191,-5.514711893777597,29,8.602880085438835,-7.781390333584489,10,11.861270499985508,-9.973942535671009
Tuned_CatBoost,3,2022-2023,2023-2024,17896,738,2.3888433736948484,139,4.789784099964891,2.3182927472523223,3.3617755941124994,0.48015616752914003,0.00543968255708212,78,6.361313526934807,-6.10749969478951,31,8.02068037619083,-7.521229582595462,8,11.532176365587105,-9.934412285846182
Tuned_CatBoost,4,2023-2024,2024-2025,18634,769,2.3608060232416634,110,14.693346800049767,2.4576576484502537,3.498132952578849,0.45893516846932403,-0.004302991087068319,87,6.409133104567765,-5.640574738200115,32,8.89619452477736,-7.985451909864842,16,10.358991065038257,-8.922398115674952
Tuned_MLP,1,2020-2021,2021-2022,16284,834,2.274328867594401,6,32.04452299996046,2.3456216046421363,3.4359048492741544,0.4585110672187066,-0.47584356992936533,92,7.083109194817751,-6.997829958148625,31,10.087831651010822,-10.087831651010822,13,12.799749484428993,-12.799749484428993
Tuned_MLP,2,2021-2022,2022-2023,17118,778,2.2727240721384683,7,17.00583379995078,2.429418704963282,3.524379711190563,0.41133808206258815,-0.3409039885341968,76,7.314738381850092,-6.951347685173938,29,9.932562754071991,-9.932562754071991,10,13.071301984786988,-13.071301984786988
Tuned_MLP,3,2022-2023,2023-2024,17896,738,2.350360552469889,8,18.341804899973795,2.314516081881071,3.388601544465518,0.47182667372309983,-0.1476149557405694,78,6.34555350511502,-6.22150867107587,31,8.161944512398012,-7.893199459198983,8,11.129246175289154,-11.035585343837738
Tuned_MLP,4,2023-2024,2024-2025,18634,769,2.3241565227508545,13,8.670856999990065,2.4790924953391245,3.5216187265170946,0.4516455750021633,-0.03479712651206861,87,6.597302379279301,-6.177007146265315,32,9.314278736710548,-9.132145181298256,16,11.037913858890533,-10.691729128360748
