variant,folds,mae_mean,mae_std,mae_worst,rmse_mean,r2_mean,bias_mean,exit_mae_mean,presence_mae_mean,changed_team_mae_mean,tenplus_mae_mean,twentyplus_mae_mean,a_roc_auc_mean,a_macro_f1_mean,a_exit_recall_mean
FULL,4,2.126666454177564,0.0936554754737743,2.2638461770890985,3.258929661893446,0.47445930911278444,0.03704859860763916,0.8106966397960544,2.381066061232754,2.2896659068637044,6.462508648640102,10.853575480848264,0.923522473145949,0.8330725161432595,0.7097826523038655
NO_MODEL_A_CONTEXT,4,2.1386133648954897,0.09730257652997466,2.2794558973382375,3.286597785112849,0.4654106718420671,0.020824509951919562,0.8366963953524087,2.391317753022976,2.4088110819990307,6.514434501154237,10.96117583203723,0.9205098690614012,0.8264512100011836,0.7144559814220403
NO_MARKET,4,2.1416266061474234,0.10824657811881107,2.3020059609085726,3.2793103368079692,0.4676061268085774,0.0371965662478432,0.8219384463232932,2.3980367224282433,2.310118858353716,6.46363613670164,10.971801617353462,0.9136664331197849,0.8280614477062171,0.6977231305133453
NO_TRANSFER_CONTEXT,4,2.211232716401965,0.07731872487021883,2.303727538083768,3.341643962651923,0.4475833313092813,0.08485630450935852,1.242124543458174,2.3910717416342053,2.8802239570487345,6.461594112757632,10.864266611699417,0.8744205464792079,0.7733685615498263,0.5977649759920928
