variant,presence_col,target_col,fold,outer_val_season,train_n,val_n,selected_iterations,mae,rmse,r2,bias,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias
B_Original,matched_next_original,next_goals_original,1,2020-2021,3252,834,312,2.336205963667519,3.358193753537156,0.4827281711756388,0.06695680187252198,92,5.89035121569944,-5.318251460036337,31,8.214657676703874,-7.638066691774633,13,9.101311990408108,-9.101311990408108
B_Original,matched_next_original,next_goals_original,2,2021-2022,4086,778,285,2.4644862686892743,3.526156584002437,0.41074436565500894,0.08955853756144833,76,6.54149284510568,-5.86495325606598,29,8.806520992686838,-8.618836809912455,10,12.011159377542663,-12.011159377542663
B_Original,matched_next_original,next_goals_original,3,2022-2023,4864,738,265,2.3049395550121448,3.3676644054227642,0.4783333549374148,-0.04625060214915688,78,6.419640098151071,-6.254136143289208,31,8.138125805837312,-7.797843748335919,8,11.458329719831312,-10.886613164397062
B_Original,matched_next_original,next_goals_original,4,2023-2024,5602,769,233,2.4448151978852746,3.491873570095066,0.46086974428537486,-0.14038092515651057,87,6.719670449187974,-6.264542077471843,32,9.38448185937466,-9.041906825003139,16,10.992701751152026,-10.307551682408985
B_Audited,matched_next_audited,next_goals_audited,1,2020-2021,3252,834,312,2.336205963667519,3.358193753537156,0.4827281711756388,0.06695680187252198,92,5.89035121569944,-5.318251460036337,31,8.214657676703874,-7.638066691774633,13,9.101311990408108,-9.101311990408108
B_Audited,matched_next_audited,next_goals_audited,2,2021-2022,4086,789,285,2.4832631673019345,3.559554236992075,0.4104357707058057,0.047983661766681514,79,6.648716407799758,-5.997868195559033,32,8.858882774252109,-8.688793983612825,10,12.011159377542663,-12.011159377542663
B_Audited,matched_next_audited,next_goals_audited,3,2022-2023,4875,747,265,2.3148180155100175,3.3612841527997266,0.47674175254530415,-0.0465195874472225,78,6.470764865654112,-6.299359475315937,31,8.162649516244734,-7.741033555269818,8,11.468329025040589,-10.586464976851062
B_Audited,matched_next_audited,next_goals_audited,4,2023-2024,5622,769,189,2.4552326891396103,3.498246471689595,0.4589000513391497,-0.12820677516223764,87,6.718136907035267,-6.341183255437583,32,9.275480165115141,-9.061035338448846,16,10.83350153040169,-10.404611877069101
