model,fold,outer_val_season,train_n,val_n,best_inner_mae,selected_rounds,fit_seconds,mae,rmse,r2,bias,10plus_n,10plus_mae,10plus_bias,15plus_n,15plus_mae,15plus_bias,20plus_n,20plus_mae,20plus_bias,changed_team_n,changed_team_mae,changed_team_bias,same_team_n,same_team_mae,same_team_bias,input_dim
Tuned_CatBoost_S3,1,2020-2021,3252,834,2.360700065819948,864,15.825632875999986,2.3428754318305236,3.3748996479484976,0.477568860276701,0.06697971456272873,92,6.00037813890054,-5.355441140373512,31,8.290006136537697,-7.738799107304289,13,9.159461435600138,-9.159461435600138,55,2.372578204260655,0.7331787213550789,779,2.3407783169606167,0.019943841169173873,
Tuned_CatBoost_S3,2,2021-2022,4086,778,2.3622887936693346,725,19.70956808699998,2.463502062375218,3.5220798573145125,0.4121061007085721,0.10115570837531873,76,6.525258432464312,-5.910620891798826,29,8.785619198959285,-8.622205943764666,10,11.760764459353009,-11.760764459353009,99,2.9368094623821146,-0.09494762866851525,679,2.3944925887365094,0.12974809477788068,
Tuned_CatBoost_S3,3,2022-2023,4864,738,2.401154663319755,198,1.2701840980000725,2.326839729409252,3.386878503743462,0.47236366974473987,-0.060579406123435896,78,6.578102922662065,-6.439756584087776,31,8.165611816860967,-7.900199975770046,8,11.642642431568675,-10.972587354192001,103,2.4561146486681467,0.304630087891621,635,2.3058707267578096,-0.11981811145186244,
Tuned_CatBoost_S3,4,2023-2024,5602,769,2.35936311340533,276,4.984329495000111,2.462162640998552,3.5236368233677875,0.4510169155661661,-0.15414629093909618,87,6.845355312954531,-6.389177024502007,32,9.510516209454913,-9.211326545038041,16,11.264049280562176,-10.665669951728432,97,3.288281205257376,-1.0049565534236424,672,2.3429163601457157,-0.031335881026892325,
Tuned_MLP_S3,1,2020-2021,3252,834,2.2953861554463706,9,2.2618343399999503,2.3518144871762616,3.3922497090505437,0.4721835082360143,0.17762979743577878,92,5.440302776253742,-4.555405875910884,31,7.218507559068741,-6.60787235536883,13,7.861609642322247,-7.74892964729896,55,2.2171307758851486,0.3621065681630915,779,2.3613236067154286,0.16460512171048713,44.0
Tuned_MLP_S3,2,2021-2022,4086,778,2.3209645748138428,6,0.4870453119999638,2.4993112528730173,3.5897515329403165,0.3892980096563613,0.05275266774592485,76,6.582847209353196,-5.9352306723594666,29,8.603659317411225,-8.524810051095896,10,12.05433702468872,-11.970832920074463,99,3.0297000492462005,-0.07809455105752657,679,2.421979160323761,0.07183053911785665,44.0
Tuned_MLP_S3,3,2022-2023,4864,738,2.355350971221924,8,1.3680198490001203,2.3288619278811504,3.415820435959272,0.4633075067770499,-0.07538183841117352,78,6.1573138145300055,-5.882994972742521,31,7.46126450261762,-6.914271985330889,8,10.965269565582275,-10.664773941040039,103,2.3874759500466505,0.07515302560861828,635,2.319354456569266,-0.09979930454351771,44.0
Tuned_MLP_S3,4,2023-2024,5602,769,2.330547332763672,8,0.9194350440002381,2.4220915659971447,3.5248663286520276,0.4506337345532888,-0.20753936471492634,87,6.711100468690368,-6.3330725856211,32,9.266776368021965,-9.157503053545952,16,11.14000415802002,-10.921457529067993,97,3.1621439524532593,-0.914489814301127,672,2.3152685280711878,-0.10549443374787058,44.0
