threshold,macro_f1,balanced_accuracy,exit_recall,presence_recall
0.2,0.7173971849407708,0.6655844155844156,0.33116883116883117,1.0
0.21,0.7236721611721612,0.6714277270194046,0.34415584415584416,0.9986996098829649
0.22,0.7282222119581534,0.6766208433958759,0.35714285714285715,0.9960988296488946
0.23,0.7415026605901673,0.6889576613243713,0.38311688311688313,0.9947984395318595
0.24,0.7522978866152298,0.6986979210646311,0.4025974025974026,0.9947984395318595
0.25,0.7522978866152298,0.6986979210646311,0.4025974025974026,0.9947984395318595
0.26,0.7646473370347522,0.7110347389931265,0.42857142857142855,0.9934980494148244
0.27,0.7765012914334912,0.7233715569216219,0.45454545454545453,0.9921976592977894
0.28,0.7846705266060106,0.7324616216033641,0.474025974025974,0.9908972691807543
0.29,0.7894202704722644,0.7383049330383531,0.487012987012987,0.9895968790637191
0.3,0.7925864375600986,0.7415516862851063,0.4935064935064935,0.9895968790637191
0.31,0.7957289369468825,0.7447984395318595,0.5,0.9895968790637191
0.32,0.801944132056204,0.751291946025366,0.512987012987013,0.9895968790637191
0.33,0.8080682054481181,0.7577854525188725,0.525974025974026,0.9895968790637191
0.34,0.811096784756759,0.7610322057656258,0.5324675324675324,0.9895968790637191
0.35,0.8170884146341464,0.7675257122591322,0.5454545454545454,0.9895968790637191
0.36,0.820052006188078,0.7707724655058855,0.551948051948052,0.9895968790637191
0.37,0.8259160624966995,0.777265971999392,0.564935064935065,0.9895968790637191
0.38,0.8373987976051351,0.7902529849864051,0.5909090909090909,0.9895968790637191
0.39,0.8430214071800939,0.7967464914799115,0.6038961038961039,0.9895968790637191
0.4,0.8458038522012579,0.7999932447266647,0.6103896103896104,0.9895968790637191
0.41,0.8567465321563682,0.8129802577136778,0.6363636363636364,0.9895968790637191
0.42,0.8621086822422701,0.8194737642071842,0.6493506493506493,0.9895968790637191
0.43,0.8674002988162279,0.8259672707006906,0.6623376623376623,0.9895968790637191
0.44,0.8690482946484308,0.8311603870771621,0.6753246753246753,0.9869960988296489
0.45,0.8767387102442452,0.8409006468174218,0.6948051948051948,0.9869960988296489
0.46,0.8749579564989909,0.8402504517589042,0.6948051948051948,0.9856957087126138
0.47,0.8782223250969272,0.8460937631938932,0.7077922077922078,0.9843953185955787
0.48,0.8831949343438875,0.8525872696873997,0.7207792207792207,0.9843953185955787
0.49,0.8863300492610837,0.8584305811223887,0.7337662337662337,0.9830949284785435
0.5,0.8845633463327004,0.8577803860638711,0.7337662337662337,0.9817945383615084
0.51,0.8845633463327004,0.8577803860638711,0.7337662337662337,0.9817945383615084
0.52,0.8852324853220115,0.8603769442521068,0.7402597402597403,0.9804941482444733
0.53,0.880691948366852,0.8610229172647899,0.7467532467532467,0.9752925877763329
0.54,0.8813624678663239,0.8636194754530255,0.7532467532467533,0.9739921976592978
0.55,0.8837338813935758,0.8668662286997788,0.7597402597402597,0.9739921976592978
0.56,0.8884356821213593,0.8733597351932852,0.7727272727272727,0.9739921976592978
0.57,0.8867206676485027,0.8727095401347678,0.7727272727272727,0.9726918075422627
0.58,0.8867206676485027,0.8727095401347678,0.7727272727272727,0.9726918075422627
0.59,0.8839507136291902,0.8740057082059682,0.7792207792207793,0.9687906371911573
